Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000101367,GRCh38_MAPRE1,41,-0.9905,68,-0.2425,97,0.36277,86,0.17306,57,-0.4788,92,0.35362
GRCh38_ENSG00000101391,GRCh38_CDK5RAP1,23,-0.1081,22,-0.1928,21,-0.2279,23,-0.1235,23,-0.0522,29,0.37345
GRCh38_ENSG00000078699,GRCh38_CBFA2T2,19,0.71599,10,-0.3001,9,-0.4557,11,-0.0945,13,0.11963,12,0.03078
GRCh38_ENSG00000101421,GRCh38_CHMP4B,32,-0.6381,48,-0.0146,71,0.61880,58,0.31420,28,-0.8338,48,-0.0454
GRCh38_ENSG00000125970,GRCh38_RALY,152,0.64529,65,-0.7803,86,-0.2767,63,-0.8337,194,1.06692,112,0.19443
GRCh38_ENSG00000125977,GRCh38_EIF2S2,100,-0.3564,106,-0.3072,106,-0.2669,109,-0.2486,166,0.45477,152,0.40187
GRCh38_ENSG00000101444,GRCh38_AHCY,43,-0.0684,21,-1.2806,40,-0.1768,49,0.14679,100,1.33909,43,-0.1032
GRCh38_ENSG00000078747,GRCh38_ITCH,10,-1.1043,28,0.50651,15,-0.6048,40,1.21622,14,-0.6381,13,-0.9013
GRCh38_ENSG00000125971,GRCh38_DYNLRB1,81,-0.2888,98,0.01784,116,0.28141,80,-0.3545,123,0.37801,99,0.04057
GRCh38_ENSG00000101464,GRCh38_PIGU,18,-0.1060,22,0.23981,16,-0.3090,11,-0.9438,45,1.40763,16,-0.3356
GRCh38_ENSG00000198646,GRCh38_NCOA6,29,-0.0936,32,0.07412,15,-1.1198,35,0.25510,32,0.04671,32,0.10805
GRCh38_ENSG00000078804,GRCh38_TP53INP2,7,-1.0762,30,1.32718,20,0.43741,12,-0.3865,9,-0.8690,11,-0.6391
GRCh38_ENSG00000131069,GRCh38_ACSS2,32,0.56456,15,-0.6716,14,-0.6688,12,-0.9860,13,-0.8397,37,1.14945
GRCh38_ENSG00000100983,GRCh38_GSS,37,0.05623,30,-0.3333,22,-0.7748,36,-0.0084,62,0.89812,36,-0.0050
GRCh38_ENSG00000100991,GRCh38_TRPC4AP,34,-0.2438,32,-0.3610,60,0.68318,41,0.04896,46,0.22734,37,-0.1451
GRCh38_ENSG00000088298,GRCh38_EDEM2,46,1.26244,12,-0.9988,35,0.79590,10,-1.2389,30,0.51463,20,-0.1125
GRCh38_ENSG00000101000,GRCh38_PROCR,16,0.07292,7,-1.3065,21,0.50739,14,-0.2355,35,1.35557,14,-0.2079
GRCh38_ENSG00000126005,GRCh38_MMP24OS,42,-0.1963,48,0.01433,29,-0.7701,51,0.12999,48,-6.0326,53,0.22695
GRCh38_ENSG00000242372,GRCh38_EIF6,139,-0.5760,174,-0.2490,183,-0.1437,144,-0.5648,311,0.72686,244,0.42699
GRCh38_ENSG00000125998,GRCh38_FAM83C,3,-2.7452,24,0.44675,5,-1.8726,14,-0.4465,14,-0.4037,30,1.03523
GRCh38_ENSG00000101019,GRCh38_UQCC1,25,0.68564,13,-0.4337,8,-1.0108,7,-1.4320,23,0.52827,23,0.73915
GRCh38_ENSG00000126001,GRCh38_CEP250,18,0.39474,14,0.04821,21,0.70396,11,-0.3571,16,0.18047,11,-0.4505
GRCh38_ENSG00000125991,GRCh38_ERGIC3,94,0.03625,71,-0.4512,117,0.38838,51,-0.9917,141,0.70551,108,0.33617
GRCh38_ENSG00000214078,GRCh38_CPNE1,58,0.72148,29,-0.4344,42,0.18362,20,-1.0598,57,0.68173,40,0.12594
GRCh38_ENSG00000244462,GRCh38_RBM12,30,-0.5840,26,-0.8935,35,-0.3203,55,0.41768,56,0.39162,51,0.34898
GRCh38_ENSG00000125995,GRCh38_ROMO1,134,0.26729,71,-0.7960,55,-1.1199,92,-0.3662,253,1.36223,122,0.15425
GRCh38_ENSG00000131051,GRCh38_RBM39,123,-0.4349,147,-0.1730,177,0.14943,165,0.03869,163,0.01849,176,0.18339
GRCh38_ENSG00000025293,GRCh38_PHF20,27,0.22331,19,-0.3961,27,0.23721,19,-0.3624,33,0.56767,24,0.03782
GRCh38_ENSG00000171222,GRCh38_SCAND1,132,0.33054,90,-0.3074,124,0.23304,86,-0.3899,115,0.11390,117,0.17640
GRCh38_ENSG00000260032,GRCh38_NORAD,142,-0.2924,108,-0.7910,255,0.65652,239,0.63451,133,-0.3925,162,-0.1122
GRCh38_ENSG00000131043,GRCh38_AAR2,28,-0.0203,24,-0.2520,19,-0.6106,26,-0.1236,36,0.38072,32,0.30968
