Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
GRCh38_ENSG00000163221,GRCh38_S100A12,25,-2.1106,286,2.35839,94,-0.1656,34,-2.0742
GRCh38_ENSG00000143546,GRCh38_S100A8,7339,-1.7863,40549,1.07399,19838,-0.3391,21808,-0.1772
GRCh38_ENSG00000184330,GRCh38_S100A7A,41,-2.7214,656,2.15215,218,-0.2643,121,-1.4687
GRCh38_ENSG00000143556,GRCh38_S100A7,1520,-2.4418,21778,2.42967,5005,-0.7968,3949,-1.3424
GRCh38_ENSG00000197956,GRCh38_S100A6,834,-0.4978,710,-0.8183,1371,0.38942,1268,0.25661
GRCh38_ENSG00000196154,GRCh38_S100A4,213,0.01502,101,-1.2412,373,1.39079,145,-0.8188
GRCh38_ENSG00000188015,GRCh38_S100A3,19,-0.3018,23,-0.0129,7,-2.0455,36,1.32009
GRCh38_ENSG00000196754,GRCh38_S100A2,1730,-0.8693,1727,-0.9517,2296,-0.5354,4527,1.16993
GRCh38_ENSG00000188643,GRCh38_S100A16,418,-1.3319,895,-0.1785,1099,0.22332,1096,0.25650
GRCh38_ENSG00000189334,GRCh38_S100A14,166,-1.3197,362,-0.1334,224,-1.0389,585,1.16508
GRCh38_ENSG00000189171,GRCh38_S100A13,86,0.15585,56,-0.5809,70,-0.2120,93,0.44973
GRCh38_ENSG00000160679,GRCh38_CHTOP,42,-0.6523,64,0.01581,59,-0.1362,72,0.30512
GRCh38_ENSG00000143553,GRCh38_SNAPIN,12,-0.8170,13,-0.7974,26,0.49708,22,0.22548
GRCh38_ENSG00000143621,GRCh38_ILF2,104,0.05650,55,-1.0246,89,-0.2393,131,0.70409
GRCh38_ENSG00000143624,GRCh38_INTS3,26,0.32703,13,-0.8508,16,-0.5387,28,0.74744
GRCh38_ENSG00000143554,GRCh38_SLC27A3,27,0.46774,11,-0.9975,27,0.58886,19,-0.2227
GRCh38_ENSG00000143614,GRCh38_GATAD2B,22,-0.1389,29,0.29407,27,0.23105,21,-0.3780
GRCh38_ENSG00000198837,GRCh38_DENND4B,33,0.52516,19,-0.3818,26,0.14424,23,-0.1227
GRCh38_ENSG00000143570,GRCh38_SLC39A1,55,-0.2191,42,-0.7032,60,-0.0924,78,0.54475
GRCh38_ENSG00000143543,GRCh38_JTB,185,0.41929,89,-0.8091,137,-0.0863,164,0.34312
GRCh38_ENSG00000143545,GRCh38_RAB13,84,0.40027,41,-0.8145,69,0.10634,71,0.18983
GRCh38_ENSG00000177954,GRCh38_RPS27,1396,-0.6629,1381,-0.7461,2853,0.64939,2143,0.01633
GRCh38_ENSG00000143549,GRCh38_TPM3,206,-0.3958,181,-0.6526,329,0.47329,272,0.07111
GRCh38_ENSG00000143612,GRCh38_C1orf43,63,-0.3918,59,-0.5499,86,0.11647,93,0.34695
GRCh38_ENSG00000143569,GRCh38_UBAP2L,34,-0.5829,19,-1.5506,56,0.28662,63,0.63699
GRCh38_ENSG00000143575,GRCh38_HAX1,33,-0.6789,42,-0.3353,64,0.50887,49,-0.0548
GRCh38_ENSG00000160714,GRCh38_UBE2Q1,40,-0.2989,45,-0.1389,45,-0.1771,56,0.33772
GRCh38_ENSG00000160710,GRCh38_ADAR,174,-0.1898,173,-0.2220,213,0.17788,200,0.04923
GRCh38_ENSG00000163344,GRCh38_PMVK,46,-0.4255,46,-0.4869,53,-0.2610,77,0.63567
GRCh38_ENSG00000163346,GRCh38_PBXIP1,57,0.40043,27,-0.8517,55,0.45933,42,-0.1234
GRCh38_ENSG00000163348,GRCh38_PYGO2,18,-0.6991,21,-0.5069,24,-0.3307,37,0.77091
GRCh38_ENSG00000160691,GRCh38_SHC1,121,-0.1076,90,-0.6204,145,0.24322,139,0.17887
GRCh38_ENSG00000173207,GRCh38_CKS1B,29,-0.4605,22,-0.9520,30,-0.4832,56,1.02813
GRCh38_ENSG00000160688,GRCh38_FLAD1,28,-0.2596,15,-1.2918,29,-0.2375,46,0.90849
GRCh38_ENSG00000160685,GRCh38_ZBTB7B,26,-1.0502,63,0.35743,50,-0.0957,55,0.12068
GRCh38_ENSG00000143537,GRCh38_ADAM15,39,-0.9364,63,-0.2253,84,0.32055,76,0.12128
GRCh38_ENSG00000243364,GRCh38_EFNA4,12,-0.5693,28,0.88785,13,-0.5722,17,-0.0585
GRCh38_ENSG00000143590,GRCh38_EFNA3,6,-1.6598,35,1.32758,19,0.08869,12,-0.8689
GRCh38_ENSG00000169242,GRCh38_EFNA1,66,-0.2821,70,-0.2284,60,-0.5574,102,0.67085
GRCh38_ENSG00000169241,GRCh38_SLC50A1,35,-0.0231,31,-0.2240,30,-0.3143,42,0.40475
GRCh38_ENSG00000179085,GRCh38_DPM3,34,0.09648,27,-0.2652,31,-0.0503,34,0.17189
GRCh38_ENSG00000163463,GRCh38_KRTCAP2,125,0.11339,83,-0.5890,126,0.17049,124,0.14771
GRCh38_ENSG00000185499,GRCh38_MUC1,64,0.06287,60,-0.0441,59,-0.1062,64,0.09610
GRCh38_ENSG00000169231,GRCh38_THBS3,14,-0.4177,11,-0.7911,30,1.17766,14,-0.6050
GRCh38_ENSG00000173171,GRCh38_MTX1,45,-0.0690,29,-0.7852,44,-0.1313,58,0.56363
GRCh38_ENSG00000177628,GRCh38_GBA,83,0.02947,104,0.45451,82,0.00525,70,-0.3577
GRCh38_ENSG00000160767,GRCh38_FAM189B,12,-1.1402,16,-0.7953,33,0.54050,29,0.24938
GRCh38_ENSG00000116521,GRCh38_SCAMP3,69,0.30754,39,-0.6531,49,-0.3108,69,0.49928
GRCh38_ENSG00000176444,GRCh38_CLK2,57,0.90535,16,-1.1611,18,-1.0726,46,0.92071
GRCh38_ENSG00000160752,GRCh38_FDPS,76,0.01891,70,-0.1230,73,-0.0666,79,0.12949
GRCh38_ENSG00000160753,GRCh38_RUSC1,20,-0.3071,16,-0.7571,23,-0.1274,32,0.62509
GRCh38_ENSG00000116539,GRCh38_ASH1L,19,-1.0504,22,-0.8747,66,1.37268,28,-0.6162
GRCh38_ENSG00000125459,GRCh38_MSTO1,36,1.15264,8,-1.3227,13,-0.5925,22,0.52568
GRCh38_ENSG00000163374,GRCh38_YY1AP1,55,0.23729,37,-0.4417,45,-0.1430,54,0.29045
GRCh38_ENSG00000132676,GRCh38_DAP3,36,-0.2376,34,-0.3850,44,0.08010,47,0.24528
GRCh38_ENSG00000116580,GRCh38_GON4L,22,-0.1849,19,-0.4219,30,0.43465,24,-0.0791
GRCh38_ENSG00000143622,GRCh38_RIT1,21,0.07327,23,0.25062,15,-0.5529,22,0.23708
GRCh38_ENSG00000132680,GRCh38_KHDC4,12,-0.4283,17,0.06397,11,-0.7095,21,0.63626
GRCh38_ENSG00000116584,GRCh38_ARHGEF2,47,0.33179,22,-0.8876,54,0.80488,31,-0.4359
GRCh38_ENSG00000163479,GRCh38_SSR2,195,0.51887,102,-0.5609,145,0.05262,145,0.06011
GRCh38_ENSG00000160803,GRCh38_UBQLN4,30,0.08562,32,0.22755,12,-1.5079,39,0.79967
GRCh38_ENSG00000116586,GRCh38_LAMTOR2,63,-0.1395,54,-0.4338,50,-0.6450,93,0.79943
GRCh38_ENSG00000132698,GRCh38_RAB25,18,-2.5002,116,0.39442,90,-0.0772,104,0.26351
GRCh38_ENSG00000160789,GRCh38_LMNA,178,-0.9983,319,-0.1021,394,0.32738,345,0.05211
GRCh38_ENSG00000196189,GRCh38_SEMA4A,11,-0.5344,11,-0.5629,17,0.14776,18,0.36569
GRCh38_ENSG00000160785,GRCh38_SLC25A44,19,-0.1574,18,-0.3104,21,-0.0285,24,0.27075
GRCh38_ENSG00000160783,GRCh38_PMF1,39,-0.2444,38,-0.2834,37,-0.4025,56,0.57917
GRCh38_ENSG00000160781,GRCh38_PAQR6,8,-0.6306,19,0.84684,4,-1.8766,16,0.69092
GRCh38_ENSG00000198952,GRCh38_SMG5,41,-0.3685,44,-0.3067,50,-0.0980,61,0.39249
GRCh38_ENSG00000163472,GRCh38_TMEM79,43,-1.6288,190,0.81177,97,-0.4836,132,0.15311
GRCh38_ENSG00000198715,GRCh38_GLMP,47,-0.3288,64,0.20376,64,0.23561,52,-0.2464
GRCh38_ENSG00000163468,GRCh38_CCT3,96,-0.5144,82,-0.8217,125,-0.1132,172,0.70122
GRCh38_ENSG00000116604,GRCh38_MEF2D,55,0.88627,38,0.31589,38,0.33630,19,-1.0687
GRCh38_ENSG00000163382,GRCh38_NAXE,57,-0.1030,44,-0.5530,53,-0.2543,75,0.56377
GRCh38_ENSG00000160818,GRCh38_GPATCH4,13,-0.9904,18,-0.5024,24,-0.0040,30,0.57119
GRCh38_ENSG00000143320,GRCh38_CRABP2,44,-2.0251,201,0.34453,162,-0.0565,184,0.24080
GRCh38_ENSG00000143319,GRCh38_ISG20L2,19,-0.7201,20,-0.7330,34,0.20806,37,0.44023
GRCh38_ENSG00000143303,GRCh38_RRNAD1,9,-0.5241,16,0.33478,15,0.17051,12,-0.2252
GRCh38_ENSG00000143314,GRCh38_MRPL24,19,-0.7447,18,-0.8924,37,0.36347,36,0.37522
GRCh38_ENSG00000143321,GRCh38_HDGF,112,-0.6229,129,-0.4493,147,-0.2627,215,0.67008
GRCh38_ENSG00000143294,GRCh38_PRCC,65,0.30131,41,-0.4781,33,-0.8976,73,0.81857
GRCh38_ENSG00000027869,GRCh38_SH2D2A,30,-0.3762,20,-1.0809,43,0.21580,47,0.48759
GRCh38_ENSG00000187800,GRCh38_PEAR1,32,0.72720,8,-1.5838,10,-1.2268,32,1.24786
GRCh38_ENSG00000163565,GRCh38_IFI16,133,-0.4445,95,-1.0453,196,0.21625,214,0.49307
GRCh38_ENSG00000163568,GRCh38_AIM2,7,-1.2324,10,-0.7052,18,0.29410,19,0.45460
GRCh38_ENSG00000158716,GRCh38_DUSP23,76,0.26300,39,-0.8493,60,-0.1592,78,0.48778
GRCh38_ENSG00000158714,GRCh38_SLAMF8,17,-0.4473,12,-1.0240,38,1.23223,18,-0.5460
GRCh38_ENSG00000158710,GRCh38_TAGLN2,312,-0.5960,326,-0.5848,465,0.03939,551,0.48618
GRCh38_ENSG00000224259,GRCh38_LINC01133,3,-2.3378,13,-0.2330,8,-1.2468,25,1.47886
GRCh38_ENSG00000162729,GRCh38_IGSF8,18,-0.5274,27,0.05818,19,-0.5367,32,0.54943
GRCh38_ENSG00000162734,GRCh38_PEA15,131,0.00254,163,0.41972,149,0.28487,100,-0.5950
GRCh38_ENSG00000132716,GRCh38_DCAF8,69,0.49118,40,-0.4172,50,-0.0272,52,0.06694
GRCh38_ENSG00000162735,GRCh38_PEX19,11,-1.0503,25,0.20120,20,-0.1977,26,0.31759
GRCh38_ENSG00000122218,GRCh38_COPA,81,-0.3021,74,-0.4888,123,0.48703,96,-0.0551
GRCh38_ENSG00000162736,GRCh38_NCSTN,43,-0.5090,54,-0.1778,53,-0.2345,72,0.46696
GRCh38_ENSG00000026751,GRCh38_SLAMF7,134,1.75309,43,-0.2074,60,0.43219,22,-1.5721
GRCh38_ENSG00000158769,GRCh38_F11R,53,-1.7644,190,0.21285,190,0.24054,173,0.04521
GRCh38_ENSG00000215845,GRCh38_TSTD1,41,-0.7377,61,-0.1479,55,-0.3853,85,0.62181
GRCh38_ENSG00000186517,GRCh38_ARHGAP30,16,-0.3407,26,0.51590,24,0.44554,14,-0.7246
GRCh38_ENSG00000143217,GRCh38_NECTIN4,27,-2.2378,214,1.17746,98,-0.3714,108,-0.2018
GRCh38_ENSG00000143256,GRCh38_PFDN2,73,0.01875,57,-0.4155,45,-0.8816,100,0.88767
GRCh38_ENSG00000158793,GRCh38_NIT1,19,-0.7264,47,0.79626,30,-0.0574,27,-0.3550
GRCh38_ENSG00000158796,GRCh38_DEDD,25,-0.3230,30,-0.0452,33,0.12387,31,0.03037
GRCh38_ENSG00000143222,GRCh38_UFC1,60,-0.3491,84,0.20732,79,0.10344,71,-0.1181
GRCh38_ENSG00000158850,GRCh38_B4GALT3,80,1.39973,27,-0.4713,22,-0.8318,37,0.15746
GRCh38_ENSG00000158859,GRCh38_ADAMTS4,39,0.46913,8,-1.9649,46,1.04845,25,-0.3937
GRCh38_ENSG00000158864,GRCh38_NDUFS2,57,0.10421,41,-0.4892,49,-0.1747,63,0.39388
GRCh38_ENSG00000158869,GRCh38_FCER1G,110,-0.2986,75,-0.9752,194,0.84720,123,-0.1891
GRCh38_ENSG00000158882,GRCh38_TOMM40L,15,0.26226,5,-1.4138,11,-0.3647,18,0.85649
GRCh38_ENSG00000143252,GRCh38_SDHC,33,-1.1291,51,-0.5179,99,0.80529,65,-0.1532
GRCh38_ENSG00000143226,GRCh38_FCGR2A,93,-0.3959,77,-0.7453,175,0.87306,105,-0.2917
GRCh38_ENSG00000173110,GRCh38_HSPA6,10,-0.5552,18,0.30243,22,0.87703,9,-0.9723
GRCh38_ENSG00000203747,GRCh38_FCGR3A,70,-0.4129,62,-0.6513,155,1.28321,62,-0.8127
GRCh38_ENSG00000081721,GRCh38_DUSP12,17,0.00403,10,-0.8728,18,0.21369,19,0.28166
GRCh38_ENSG00000118217,GRCh38_ATF6,16,-0.9965,21,-0.6331,41,0.64077,32,0.04719
GRCh38_ENSG00000162745,GRCh38_OLFML2B,40,0.26805,17,-1.1171,56,1.18592,24,-0.7422
GRCh38_ENSG00000152332,GRCh38_UHMK1,27,-0.8720,29,-0.8149,76,1.09445,40,-0.3688
GRCh38_ENSG00000117143,GRCh38_UAP1,34,-0.0445,15,-1.3825,34,-0.0603,46,0.72338
GRCh38_ENSG00000162733,GRCh38_DDR2,50,1.06162,4,-2.8240,48,1.50384,15,-1.1662
GRCh38_ENSG00000143248,GRCh38_RGS5,27,0.81867,6,-1.5699,33,1.74044,7,-1.7061
GRCh38_ENSG00000143198,GRCh38_MGST3,69,-0.3253,52,-0.8471,94,0.20333,99,0.38918
GRCh38_ENSG00000143149,GRCh38_ALDH9A1,21,-0.4236,24,-0.2186,31,0.25282,28,0.05159
GRCh38_ENSG00000143183,GRCh38_TMCO1,67,-0.0003,51,-0.4641,72,0.15107,71,0.14387
GRCh38_ENSG00000143179,GRCh38_UCK2,28,0.05930,20,-0.4928,13,-1.2804,41,1.14236
GRCh38_ENSG00000143157,GRCh38_POGK,13,-0.8685,17,-0.4715,26,0.27257,26,0.28832
GRCh38_ENSG00000198821,GRCh38_CD247,22,0.48361,11,-0.6081,14,-0.3219,19,0.40765
GRCh38_ENSG00000143162,GRCh38_CREG1,42,-1.3891,189,1.19430,136,0.59244,52,-1.3893
GRCh38_ENSG00000197965,GRCh38_MPZL1,85,-0.5839,92,-0.5229,134,0.16433,142,0.34399
GRCh38_ENSG00000143158,GRCh38_MPC2,33,0.51011,6,-2.1397,26,0.14422,30,0.51737
GRCh38_ENSG00000143164,GRCh38_DCAF6,16,-0.3055,7,-1.6427,31,1.02124,18,-0.1324
GRCh38_ENSG00000143155,GRCh38_TIPRL,47,0.52064,17,-1.1283,30,-0.2784,43,0.57807
GRCh38_ENSG00000213064,GRCh38_SFT2D2,19,-1.4180,65,0.53327,70,0.82963,32,-0.9087
GRCh38_ENSG00000143153,GRCh38_ATP1B1,48,-1.3808,154,0.48539,146,0.43848,99,-0.4209
GRCh38_ENSG00000117475,GRCh38_BLZF1,7,-2.0753,37,0.55354,41,0.94010,17,-0.9644
GRCh38_ENSG00000075945,GRCh38_KIFAP3,40,0.49688,29,-0.0177,30,0.02674,27,-0.2294
GRCh38_ENSG00000116132,GRCh38_PRRX1,139,0.98782,24,-1.8768,130,1.26423,47,-1.0119
GRCh38_ENSG00000010932,GRCh38_FMO1,36,0.72902,7,-1.8918,45,1.76972,10,-1.5292
GRCh38_ENSG00000117523,GRCh38_PRRC2C,26,-1.3244,29,-1.2686,146,2.48602,24,-1.8339
GRCh38_ENSG00000117533,GRCh38_VAMP4,18,0.00348,10,-0.9253,21,0.40217,19,0.13041
GRCh38_ENSG00000010165,GRCh38_EEF1AKNMT,22,0.08330,15,-0.5568,15,-0.5740,27,0.73447
GRCh38_ENSG00000135845,GRCh38_PIGC,23,-0.5128,41,0.47343,20,-0.8501,38,0.45800
GRCh38_ENSG00000094975,GRCh38_SUCO,26,-0.7530,60,0.65535,62,0.89282,22,-1.3048
GRCh38_ENSG00000117592,GRCh38_PRDX6,91,-0.2133,78,-0.5019,101,-0.0678,123,0.42479
GRCh38_ENSG00000234741,GRCh38_GAS5,147,-0.3697,107,-0.9405,108,-1.0099,292,1.35340
GRCh38_ENSG00000135870,GRCh38_RC3H1,10,-1.3600,30,0.32840,37,0.86964,17,-0.7745
GRCh38_ENSG00000152061,GRCh38_RABGAP1L,26,-0.2749,24,-0.3960,33,0.12865,33,0.22056
GRCh38_ENSG00000116161,GRCh38_CACYBP,43,-0.3529,30,-0.9715,46,-0.3144,74,0.87791
GRCh38_ENSG00000120333,GRCh38_MRPS14,25,0.04850,14,-0.8602,18,-0.5266,33,0.85468
GRCh38_ENSG00000235750,GRCh38_KIAA0040,30,1.12001,10,-0.6657,16,0.03983,14,-0.2231
GRCh38_ENSG00000143207,GRCh38_COP1,15,-0.7223,15,-0.8780,24,-0.1076,33,0.77333
GRCh38_ENSG00000120341,GRCh38_SEC16B,7,-1.1676,22,0.59993,11,-0.6743,18,0.39067
GRCh38_ENSG00000075391,GRCh38_RASAL2,17,-0.4429,21,-0.1094,37,1.21662,13,-1.0994
GRCh38_ENSG00000116191,GRCh38_RALGPS2,10,-1.4835,48,1.05731,31,0.19438,20,-0.7030
GRCh38_ENSG00000186283,GRCh38_TOR3A,47,1.65002,13,-0.5349,13,-0.5534,16,-0.1935
GRCh38_ENSG00000143322,GRCh38_ABL2,29,-0.4217,32,-0.3262,53,0.69302,33,-0.3216
GRCh38_ENSG00000057252,GRCh38_SOAT1,22,-0.5302,16,-1.0498,43,0.75358,31,0.00809
GRCh38_ENSG00000169905,GRCh38_TOR1AIP2,63,-0.6045,72,-0.4608,127,0.69057,86,-0.1871
GRCh38_ENSG00000143337,GRCh38_TOR1AIP1,26,-0.4165,25,-0.5411,43,0.50566,34,-0.0105
GRCh38_ENSG00000135837,GRCh38_CEP350,23,-0.3267,9,-1.8509,60,1.92803,17,-1.1266
GRCh38_ENSG00000116260,GRCh38_QSOX1,75,-0.9443,256,1.23166,90,-0.8109,131,-0.1264
GRCh38_ENSG00000230124,GRCh38_ACBD6,28,0.15852,18,-0.5801,18,-0.6442,34,0.76521
GRCh38_ENSG00000143324,GRCh38_XPR1,17,-1.6695,21,-1.4666,74,0.75808,61,0.37145
GRCh38_ENSG00000135823,GRCh38_STX6,38,-0.7839,65,0.07008,59,-0.1075,70,0.27748
GRCh38_ENSG00000153029,GRCh38_MR1,24,-0.7226,30,-0.4355,39,0.01596,46,0.46126
GRCh38_ENSG00000162783,GRCh38_IER5,61,-1.5513,240,0.67715,117,-0.6873,196,0.39827
GRCh38_ENSG00000135821,GRCh38_GLUL,86,-0.6112,90,-0.6094,224,1.37068,85,-0.8814
GRCh38_ENSG00000135838,GRCh38_NPL,12,-0.3250,8,-0.9224,20,0.67139,15,-0.0220
GRCh38_ENSG00000135829,GRCh38_DHX9,54,-0.1170,32,-0.9861,49,-0.3128,78,0.80746
GRCh38_ENSG00000135862,GRCh38_LAMC1,83,-0.2619,47,-1.2293,129,0.61002,103,0.13935
GRCh38_ENSG00000058085,GRCh38_LAMC2,437,-0.5859,297,-1.2750,366,-1.0312,1053,1.56834
GRCh38_ENSG00000287929,GRCh38_AL354953.1,7,-1.3083,8,-1.2668,2,-3.3928,36,2.80950
GRCh38_ENSG00000116698,GRCh38_SMG7,41,-0.5243,69,0.31501,64,0.20387,52,-0.2415
GRCh38_ENSG00000116701,GRCh38_NCF2,14,-1.3002,38,0.25637,45,0.66712,26,-0.4897
GRCh38_ENSG00000162704,GRCh38_ARPC5,108,-0.3899,96,-0.6279,181,0.58763,135,-0.0553
GRCh38_ENSG00000198860,GRCh38_TSEN15,8,-1.0524,10,-0.8960,22,0.64571,18,0.17449
GRCh38_ENSG00000116667,GRCh38_C1orf21,33,-0.9442,33,-0.9956,56,-0.1471,84,0.90349
GRCh38_ENSG00000116406,GRCh38_EDEM3,16,-0.0369,5,-1.8388,23,0.83569,16,0.02145
GRCh38_ENSG00000135842,GRCh38_NIBAN1,29,-1.0137,42,-0.5006,79,0.72588,54,-0.1037
GRCh38_ENSG00000121481,GRCh38_RNF2,16,-0.4178,20,-0.0993,24,0.25838,21,-0.0294
GRCh38_ENSG00000116679,GRCh38_IVNS1ABP,104,-0.3831,91,-0.6612,146,0.19226,152,0.33204
GRCh38_ENSG00000047410,GRCh38_TPR,49,-0.0399,34,-0.6548,60,0.39141,51,0.03344
GRCh38_ENSG00000157181,GRCh38_ODR4,20,0.10686,16,-0.2704,16,-0.2592,21,0.34075
GRCh38_ENSG00000073756,GRCh38_PTGS2,7,-1.0761,4,-2.0326,7,-1.2419,25,2.08617
GRCh38_ENSG00000090104,GRCh38_RGS1,49,0.44468,22,-0.9130,68,1.45765,19,-1.3199
GRCh38_ENSG00000116741,GRCh38_RGS2,10,-1.1210,25,0.36856,33,1.08782,12,-1.1526
GRCh38_ENSG00000116750,GRCh38_UCHL5,21,0.12285,16,-0.3498,21,0.12781,20,0.05476
GRCh38_ENSG00000116747,GRCh38_RO60,11,-1.0220,12,-1.0104,42,1.63392,14,-0.8728
GRCh38_ENSG00000023572,GRCh38_GLRX2,17,-0.2264,23,0.30560,16,-0.3470,21,0.15002
GRCh38_ENSG00000134371,GRCh38_CDC73,27,0.19923,15,-0.8243,31,0.54435,23,-0.1303
GRCh38_ENSG00000000971,GRCh38_CFH,88,0.05127,43,-1.1573,113,0.60806,86,0.00506
GRCh38_ENSG00000213047,GRCh38_DENND1B,24,-0.2286,18,-0.7475,45,1.12705,21,-0.6354
GRCh38_ENSG00000151414,GRCh38_NEK7,15,-1.5076,23,-0.9503,65,1.15975,36,-0.2533
GRCh38_ENSG00000081237,GRCh38_PTPRC,37,0.10453,16,-1.3168,64,1.52785,21,-1.0049
GRCh38_ENSG00000162702,GRCh38_ZNF281,12,-0.8097,6,-1.8402,31,0.91527,22,0.16744
GRCh38_ENSG00000118200,GRCh38_CAMSAP2,33,-0.5015,35,-0.4343,56,0.44918,46,0.01183
GRCh38_ENSG00000163362,GRCh38_INAVA,27,-0.9987,58,0.17411,43,-0.3644,63,0.45538
GRCh38_ENSG00000116857,GRCh38_TMEM9,30,-0.3255,25,-0.7100,42,0.24437,42,0.29117
GRCh38_ENSG00000081277,GRCh38_PKP1,286,-1.9216,1289,0.46661,865,-0.2980,1146,0.33195
GRCh38_ENSG00000118194,GRCh38_TNNT2,10,-1.5610,51,1.11298,18,-0.9035,31,0.15687
GRCh38_ENSG00000159166,GRCh38_LAD1,124,-1.6714,470,0.44496,307,-0.3739,429,0.37607
GRCh38_ENSG00000174307,GRCh38_PHLDA3,97,-1.0030,177,-0.0896,170,-0.1755,224,0.48188
GRCh38_ENSG00000159176,GRCh38_CSRP1,45,-0.9176,60,-0.5097,129,1.07458,65,-0.4980
GRCh38_ENSG00000134369,GRCh38_NAV1,51,-0.0746,39,-0.5551,48,-0.2264,66,0.53332
GRCh38_ENSG00000198700,GRCh38_IPO9,28,-0.3063,23,-0.6463,27,-0.4383,46,0.81368
GRCh38_ENSG00000134375,GRCh38_TIMM17A,53,-0.0008,48,-0.1881,40,-0.5412,65,0.54226
GRCh38_ENSG00000176393,GRCh38_RNPEP,34,0.20185,20,-0.6684,35,0.36806,29,-0.0323
GRCh38_ENSG00000163435,GRCh38_ELF3,29,-1.6356,238,2.29038,67,-0.4899,39,-1.5878
GRCh38_ENSG00000143862,GRCh38_ARL8A,33,0.65795,18,-0.3080,23,0.06738,20,-0.1647
GRCh38_ENSG00000143851,GRCh38_PTPN7,44,1.60641,7,-1.4551,20,0.28335,14,-0.4968
GRCh38_ENSG00000117139,GRCh38_KDM5B,33,-0.8277,41,-0.5253,73,0.58300,56,0.01267
GRCh38_ENSG00000183155,GRCh38_RABIF,17,-0.8772,30,0.01732,24,-0.3923,37,0.55543
GRCh38_ENSG00000117153,GRCh38_KLHL12,13,-0.4731,14,-0.3957,18,0.01597,21,0.37615
GRCh38_ENSG00000159346,GRCh38_ADIPOR1,101,-0.5359,187,0.50813,108,-0.5492,157,0.23703
GRCh38_ENSG00000159348,GRCh38_CYB5R1,211,-0.8472,315,-0.2499,281,-0.4973,485,0.78857
GRCh38_ENSG00000163444,GRCh38_TMEM183A,27,-0.6448,24,-0.9380,51,0.45541,47,0.28434
GRCh38_ENSG00000133055,GRCh38_MYBPH,37,0.97522,15,-0.5008,22,0.11682,18,-0.2872
GRCh38_ENSG00000133048,GRCh38_CHI3L1,135,1.29219,48,-0.4822,89,0.78185,33,-1.3260
GRCh38_ENSG00000159388,GRCh38_BTG2,194,1.85982,60,-0.1974,67,0.00952,39,-1.1402
GRCh38_ENSG00000122176,GRCh38_FMOD,118,0.69258,52,-0.6720,106,0.68516,59,-0.6088
GRCh38_ENSG00000058668,GRCh38_ATP2B4,66,-0.5828,70,-0.5453,106,0.19490,110,0.32794
GRCh38_ENSG00000182004,GRCh38_SNRPE,73,-0.0579,42,-0.9947,62,-0.4076,104,0.86219
GRCh38_ENSG00000158615,GRCh38_PPP1R15B,25,-0.3150,27,-0.2318,44,0.84624,23,-0.5875
GRCh38_ENSG00000133056,GRCh38_PIK3C2B,9,-1.0540,23,0.38553,18,-0.0003,19,0.01848
GRCh38_ENSG00000198625,GRCh38_MDM4,27,-0.0101,22,-0.3622,38,0.73816,22,-0.4962
GRCh38_ENSG00000117222,GRCh38_RBBP5,7,-0.8458,4,-1.9584,20,0.95069,14,0.16823
GRCh38_ENSG00000163545,GRCh38_NUAK2,24,-0.6185,54,0.72345,16,-1.4282,46,0.60206
GRCh38_ENSG00000186007,GRCh38_LEMD1,14,-0.4848,20,0.02873,8,-1.6255,30,1.17762
GRCh38_ENSG00000117266,GRCh38_CDK18,20,0.59446,6,-1.4694,5,-1.7510,24,1.54568
GRCh38_ENSG00000158711,GRCh38_ELK4,22,-0.3615,11,-1.4536,49,1.33989,22,-0.5263
GRCh38_ENSG00000069275,GRCh38_NUCKS1,69,-0.5281,45,-1.2513,134,0.73968,100,0.09739
GRCh38_ENSG00000276600,GRCh38_RAB7B,22,-0.3781,13,-1.1892,32,0.29528,33,0.45670
GRCh38_ENSG00000263961,GRCh38_RHEX,9,-0.6635,10,-0.4416,5,-1.7351,22,1.57375
GRCh38_ENSG00000266028,GRCh38_SRGAP2,22,0.13322,16,-0.4819,32,1.01243,14,-0.8073
GRCh38_ENSG00000263528,GRCh38_IKBKE,16,-0.1333,10,-0.9798,24,0.64344,17,-0.0330
GRCh38_ENSG00000266094,GRCh38_RASSF5,34,-0.3339,57,0.54787,47,0.22499,33,-0.5184
GRCh38_ENSG00000162889,GRCh38_MAPKAPK2,135,0.19845,97,-0.3595,151,0.51033,103,-0.3412
GRCh38_ENSG00000162892,GRCh38_IL24,36,1.17079,4,-2.2090,6,-1.7891,29,1.40428
GRCh38_ENSG00000182795,GRCh38_C1orf116,29,-1.5912,145,1.09155,75,-0.1927,71,-0.3454
GRCh38_ENSG00000123836,GRCh38_PFKFB2,7,-2.5782,78,1.37256,34,-0.3212,33,-0.4148
GRCh38_ENSG00000180667,GRCh38_YOD1,13,-1.5269,90,1.97131,32,-0.2468,18,-1.3924
GRCh38_ENSG00000196352,GRCh38_CD55,24,-1.2306,80,0.78997,60,0.26422,41,-0.5479
GRCh38_ENSG00000117335,GRCh38_CD46,65,-0.1914,49,-0.6878,87,0.36049,78,0.13142
