Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
GRCh38_ENSG00000117054,GRCh38_ACADM,17,0.33630,15,0.12786,14,0.09012,12,-0.3135
GRCh38_ENSG00000137955,GRCh38_RABGGTB,6,-1.3827,8,-1.1066,21,0.67734,18,0.28646
GRCh38_ENSG00000142892,GRCh38_PIGK,18,0.04524,8,-1.2044,28,1.17573,13,-0.5872
GRCh38_ENSG00000036549,GRCh38_AC118549.1,13,-0.2666,9,-0.8899,19,0.44943,17,0.16304
GRCh38_ENSG00000077254,GRCh38_USP33,27,0.08191,15,-0.8616,28,0.22339,28,0.23903
GRCh38_ENSG00000162613,GRCh38_FUBP1,47,-0.3283,41,-0.5987,56,-0.0613,70,0.50331
GRCh38_ENSG00000137959,GRCh38_IFI44L,57,-0.8834,63,-0.8142,138,0.69221,103,0.05729
GRCh38_ENSG00000137965,GRCh38_IFI44,107,-0.7434,163,-0.1066,131,-0.5397,225,0.70998
GRCh38_ENSG00000117114,GRCh38_ADGRL2,6,-1.3222,30,1.30418,21,0.67078,6,-1.7007
GRCh38_ENSG00000142875,GRCh38_PRKACB,21,-0.0983,13,-0.9779,24,0.13720,27,0.42896
GRCh38_ENSG00000117133,GRCh38_RPF1,22,-0.4334,21,-0.5273,27,-0.1158,35,0.54314
GRCh38_ENSG00000174021,GRCh38_GNG5,115,-0.6689,140,-0.3945,192,0.18051,197,0.28364
GRCh38_ENSG00000117151,GRCh38_CTBS,17,-0.1442,10,-1.0954,29,0.99114,16,-0.3470
GRCh38_ENSG00000171517,GRCh38_LPAR3,6,-1.0990,13,0.03318,10,-0.5096,17,0.67501
GRCh38_ENSG00000162642,GRCh38_C1orf52,11,-0.9731,14,-0.6327,24,0.32807,23,0.34073
GRCh38_ENSG00000142867,GRCh38_BCL10,14,-0.6472,16,-0.5347,28,0.58922,21,-0.0326
GRCh38_ENSG00000142871,GRCh38_CCN1,59,0.55249,26,-0.8180,52,0.45451,38,-0.2095
GRCh38_ENSG00000117174,GRCh38_ZNHIT6,12,-0.1979,6,-1.2750,11,-0.3912,20,1.00195
GRCh38_ENSG00000122417,GRCh38_ODF2L,28,-0.1109,23,-0.4563,37,0.39977,30,-0.0519
GRCh38_ENSG00000137975,GRCh38_CLCA2,194,-1.3957,351,-0.5463,619,0.55434,513,0.16098
GRCh38_ENSG00000097033,GRCh38_SH3GLB1,55,-0.5588,51,-0.7364,103,0.57961,81,0.05371
GRCh38_ENSG00000183291,GRCh38_SELENOF,69,-0.4279,71,-0.4361,112,0.44762,90,-0.0067
GRCh38_ENSG00000153936,GRCh38_HS2ST1,13,-0.3996,5,-1.8684,31,1.45006,13,-0.5100
GRCh38_ENSG00000143013,GRCh38_LMO4,48,-0.3455,31,-1.0900,61,0.00950,78,0.66063
GRCh38_ENSG00000065243,GRCh38_PKN2,14,-1.2564,22,-0.6439,58,1.42353,23,-0.7573
GRCh38_ENSG00000137947,GRCh38_GTF2B,19,-0.7491,44,0.64710,30,-0.0489,28,-0.2219
GRCh38_ENSG00000213516,GRCh38_RBMXL1,13,-0.0926,8,-0.9349,14,0.06149,16,0.47506
GRCh38_ENSG00000117226,GRCh38_GBP3,42,-0.8108,43,-0.8737,92,0.54506,78,0.21151
GRCh38_ENSG00000117228,GRCh38_GBP1,236,-0.4351,244,-0.4209,293,-0.1207,376,0.49252
GRCh38_ENSG00000162645,GRCh38_GBP2,87,-0.8813,132,-0.2662,208,0.68151,139,-0.2222
GRCh38_ENSG00000162654,GRCh38_GBP4,59,-0.2603,42,-0.8545,80,0.29930,78,0.28589
GRCh38_ENSG00000154451,GRCh38_GBP5,88,-1.0626,140,-0.3964,201,0.29038,195,0.27207
GRCh38_ENSG00000183347,GRCh38_GBP6,14,-0.8342,12,-1.0708,31,0.56337,26,0.27936
GRCh38_ENSG00000197147,GRCh38_LRRC8B,12,-0.2329,16,0.20480,18,0.48469,11,-0.5353
GRCh38_ENSG00000171488,GRCh38_LRRC8C,12,-0.4348,10,-0.7238,20,0.45612,17,0.13304
GRCh38_ENSG00000171492,GRCh38_LRRC8D,17,-0.0142,9,-1.1109,13,-0.5709,25,1.01065
GRCh38_ENSG00000162664,GRCh38_ZNF326,8,-0.7482,7,-0.9938,16,0.31095,16,0.46549
GRCh38_ENSG00000122482,GRCh38_ZNF644,22,-0.3873,13,-1.3042,43,1.01912,25,-0.2142
GRCh38_ENSG00000122484,GRCh38_RPAP2,7,-0.9087,11,-0.3530,17,0.54696,13,-0.0277
GRCh38_ENSG00000122406,GRCh38_RPL5,778,0.10067,407,-0.9952,556,-0.5320,1011,0.89479
GRCh38_ENSG00000154511,GRCh38_DIPK1A,14,-0.1674,9,-0.9916,12,-0.4523,22,0.93153
