Feature
165,GRCh38_ENSG00000134780
166,GRCh38_ENSG00000273044
167,GRCh38_ENSG00000181404
168,GRCh38_ENSG00000271978
169,GRCh38_ENSG00000011590
170,GRCh38_ENSG00000273473
171,GRCh38_ENSG00000154832
172,GRCh38_ENSG00000272088
173,GRCh38_ENSG00000221949
174,GRCh38_ENSG00000184163
175,GRCh38_ENSG00000276454
176,GRCh38_ENSG00000239877
177,GRCh38_ENSG00000272564
178,GRCh38_ENSG00000261706
179,GRCh38_ENSG00000204564
180,GRCh38_ENSG00000260657
181,GRCh38_ENSG00000287245
182,GRCh38_ENSG00000112984
183,GRCh38_ENSG00000257038
184,GRCh38_ENSG00000161544
185,GRCh38_ENSG00000138472
186,GRCh38_ENSG00000171608
187,GRCh38_ENSG00000225921
188,GRCh38_ENSG00000244239
189,GRCh38_ENSG00000205129
190,GRCh38_ENSG00000286299
191,GRCh38_ENSG00000237976
192,GRCh38_ENSG00000005513
193,GRCh38_ENSG00000271849
194,GRCh38_ENSG00000166143
195,GRCh38_ENSG00000215866
196,GRCh38_ENSG00000260763
197,GRCh38_ENSG00000214087
198,GRCh38_ENSG00000204385
199,GRCh38_ENSG00000224032
200,GRCh38_ENSG00000160951
201,GRCh38_ENSG00000258561
202,GRCh38_ENSG00000254340
203,GRCh38_ENSG00000148926
204,GRCh38_ENSG00000100038
205,GRCh38_ENSG00000213903
206,GRCh38_ENSG00000168936
207,GRCh38_ENSG00000128298
208,GRCh38_ENSG00000172236
209,GRCh38_ENSG00000259517
210,GRCh38_ENSG00000285331
211,GRCh38_ENSG00000136720
212,GRCh38_ENSG00000166707
213,GRCh38_ENSG00000270379
214,GRCh38_ENSG00000168389
215,GRCh38_ENSG00000231767
216,GRCh38_ENSG00000222009
217,GRCh38_ENSG00000161914
218,GRCh38_ENSG00000261341
219,GRCh38_ENSG00000100416
220,GRCh38_ENSG00000287339
221,GRCh38_ENSG00000285887
222,GRCh38_ENSG00000278834
223,GRCh38_ENSG00000186115
224,GRCh38_ENSG00000177383
225,GRCh38_ENSG00000237940
226,GRCh38_ENSG00000272824
227,GRCh38_ENSG00000267288
228,GRCh38_ENSG00000131067
229,GRCh38_ENSG00000162510
230,GRCh38_ENSG00000165861
231,GRCh38_ENSG00000144035
232,GRCh38_ENSG00000276188
233,GRCh38_ENSG00000233384
234,GRCh38_ENSG00000110881
235,GRCh38_ENSG00000267796
236,GRCh38_ENSG00000004948
237,GRCh38_ENSG00000100129
238,GRCh38_ENSG00000287250
239,GRCh38_ENSG00000272669
240,GRCh38_ENSG00000156795
241,GRCh38_ENSG00000286874
242,GRCh38_ENSG00000135625
243,GRCh38_ENSG00000267160
244,GRCh38_ENSG00000073578
245,GRCh38_ENSG00000086159
246,GRCh38_ENSG00000183307
