Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000188643,GRCh38_S100A16,418,-1.3319,895,-0.1785,1099,0.22332,939,-0.0834,1149,0.31924
GRCh38_ENSG00000189334,GRCh38_S100A14,166,-1.3197,362,-0.1334,224,-1.0389,332,-0.2570,669,1.30393
GRCh38_ENSG00000189171,GRCh38_S100A13,86,0.15585,56,-0.5809,70,-0.2120,166,1.27550,69,-0.2522
GRCh38_ENSG00000160679,GRCh38_CHTOP,42,-0.6523,64,0.01581,59,-0.1362,72,0.20918,71,0.25149
GRCh38_ENSG00000143553,GRCh38_SNAPIN,12,-0.8170,13,-0.7974,26,0.49708,28,0.49338,21,0.01896
GRCh38_ENSG00000143621,GRCh38_ILF2,104,0.05650,55,-1.0246,89,-0.2393,157,0.73347,122,0.42167
GRCh38_ENSG00000143624,GRCh38_INTS3,26,0.32703,13,-0.8508,16,-0.5387,34,0.77945,26,0.44188
GRCh38_ENSG00000143554,GRCh38_SLC27A3,27,0.46774,11,-0.9975,27,0.58886,35,0.85445,13,-0.8113
GRCh38_ENSG00000143614,GRCh38_GATAD2B,22,-0.1389,29,0.29407,27,0.23105,23,-0.1266,20,-0.3881
GRCh38_ENSG00000198837,GRCh38_DENND4B,33,0.52516,19,-0.3818,26,0.14424,24,-0.0077,22,-0.1384
GRCh38_ENSG00000143570,GRCh38_SLC39A1,55,-0.2191,42,-0.7032,60,-0.0924,105,0.84830,68,0.17673
GRCh38_ENSG00000143543,GRCh38_JTB,185,0.41929,89,-0.8091,137,-0.0863,169,0.26224,163,0.26931
GRCh38_ENSG00000143545,GRCh38_RAB13,84,0.40027,41,-0.8145,69,0.10634,108,0.81648,59,-0.2250
GRCh38_ENSG00000177954,GRCh38_RPS27,1396,-0.6629,1381,-0.7461,2853,0.64939,2192,0.04672,2127,-0.0015
GRCh38_ENSG00000143549,GRCh38_TPM3,206,-0.3958,181,-0.6526,329,0.47329,482,1.00261,202,-0.5224
GRCh38_ENSG00000143612,GRCh38_C1orf43,63,-0.3918,59,-0.5499,86,0.11647,70,-0.2260,101,0.46749
GRCh38_ENSG00000143569,GRCh38_UBAP2L,34,-0.5829,19,-1.5506,56,0.28662,72,0.61224,60,0.41622
GRCh38_ENSG00000143575,GRCh38_HAX1,33,-0.6789,42,-0.3353,64,0.50887,50,-0.0235,49,-0.0528
GRCh38_ENSG00000160714,GRCh38_UBE2Q1,40,-0.2989,45,-0.1389,45,-0.1771,56,0.21541,56,0.28468
GRCh38_ENSG00000160710,GRCh38_ADAR,174,-0.1898,173,-0.2220,213,0.17788,175,-0.1788,208,0.12719
GRCh38_ENSG00000163344,GRCh38_PMVK,46,-0.4255,46,-0.4869,53,-0.2610,52,-0.2284,85,0.76951
GRCh38_ENSG00000163346,GRCh38_PBXIP1,57,0.40043,27,-0.8517,55,0.45933,46,0.05221,41,-0.1664
GRCh38_ENSG00000163348,GRCh38_PYGO2,18,-0.6991,21,-0.5069,24,-0.3307,25,-0.1545,42,0.88276
GRCh38_ENSG00000160691,GRCh38_SHC1,121,-0.1076,90,-0.6204,145,0.24322,208,0.78387,116,-0.2161
GRCh38_ENSG00000173207,GRCh38_CKS1B,29,-0.4605,22,-0.9520,30,-0.4832,114,1.87967,37,-0.0976
GRCh38_ENSG00000160688,GRCh38_FLAD1,28,-0.2596,15,-1.2918,29,-0.2375,54,0.83319,43,0.58059
GRCh38_ENSG00000160685,GRCh38_ZBTB7B,26,-1.0502,63,0.35743,50,-0.0957,21,-1.4136,66,0.51732
GRCh38_ENSG00000143537,GRCh38_ADAM15,39,-0.9364,63,-0.2253,84,0.32055,51,-0.5345,84,0.32352
GRCh38_ENSG00000243364,GRCh38_EFNA4,12,-0.5693,28,0.88785,13,-0.5722,14,-0.3770,18,0.07806
GRCh38_ENSG00000143590,GRCh38_EFNA3,6,-1.6598,35,1.32758,19,0.08869,0,-5.4989,16,-0.2495
GRCh38_ENSG00000169242,GRCh38_EFNA1,66,-0.2821,70,-0.2284,60,-0.5574,73,-0.1404,112,0.77629
GRCh38_ENSG00000169241,GRCh38_SLC50A1,35,-0.0231,31,-0.2240,30,-0.3143,35,-0.0404,44,0.46266
GRCh38_ENSG00000179085,GRCh38_DPM3,34,0.09648,27,-0.2652,31,-0.0503,45,0.55450,30,-0.0790
GRCh38_ENSG00000163463,GRCh38_KRTCAP2,125,0.11339,83,-0.5890,126,0.17049,135,0.23995,120,0.06001
GRCh38_ENSG00000185499,GRCh38_MUC1,64,0.06287,60,-0.0441,59,-0.1062,82,0.46165,58,-0.1160
GRCh38_ENSG00000169231,GRCh38_THBS3,14,-0.4177,11,-0.7911,30,1.17766,9,-0.9838,15,-0.3507
GRCh38_ENSG00000173171,GRCh38_MTX1,45,-0.0690,29,-0.7852,44,-0.1313,76,0.80326,52,0.22606
GRCh38_ENSG00000177628,GRCh38_GBA,83,0.02947,104,0.45451,82,0.00525,108,0.45636,57,-0.6896
GRCh38_ENSG00000160767,GRCh38_FAM189B,12,-1.1402,16,-0.7953,33,0.54050,23,-0.1653,30,0.34173
GRCh38_ENSG00000116521,GRCh38_SCAMP3,69,0.30754,39,-0.6531,49,-0.3108,79,0.53768,66,0.30556
GRCh38_ENSG00000176444,GRCh38_CLK2,57,0.90535,16,-1.1611,18,-1.0726,50,0.68918,45,0.67333
GRCh38_ENSG00000160752,GRCh38_FDPS,76,0.01891,70,-0.1230,73,-0.0666,87,0.23667,77,0.04070
GRCh38_ENSG00000160753,GRCh38_RUSC1,20,-0.3071,16,-0.7571,23,-0.1274,55,1.32167,24,-0.0722
GRCh38_ENSG00000116539,GRCh38_ASH1L,19,-1.0504,22,-0.8747,66,1.37268,18,-1.0888,31,-0.3362
GRCh38_ENSG00000125459,GRCh38_MSTO1,36,1.15264,8,-1.3227,13,-0.5925,32,0.98347,18,0.06541
GRCh38_ENSG00000163374,GRCh38_YY1AP1,55,0.23729,37,-0.4417,45,-0.1430,62,0.41016,51,0.13817
GRCh38_ENSG00000132676,GRCh38_DAP3,36,-0.2376,34,-0.3850,44,0.08010,55,0.42503,44,0.07881
GRCh38_ENSG00000116580,GRCh38_GON4L,22,-0.1849,19,-0.4219,30,0.43465,27,0.16959,23,-0.1701
GRCh38_ENSG00000143622,GRCh38_RIT1,21,0.07327,23,0.25062,15,-0.5529,21,0.03126,23,0.25284
GRCh38_ENSG00000132680,GRCh38_KHDC4,12,-0.4283,17,0.06397,11,-0.7095,23,0.56566,20,0.44007
GRCh38_ENSG00000116584,GRCh38_ARHGEF2,47,0.33179,22,-0.8876,54,0.80488,43,0.20836,27,-0.6344
GRCh38_ENSG00000163479,GRCh38_SSR2,195,0.51887,102,-0.5609,145,0.05262,235,0.83737,115,-0.4060
GRCh38_ENSG00000160803,GRCh38_UBQLN4,30,0.08562,32,0.22755,12,-1.5079,34,0.28060,40,0.74618
GRCh38_ENSG00000116586,GRCh38_LAMTOR2,63,-0.1395,54,-0.4338,50,-0.6450,70,0.02601,101,0.84787
GRCh38_ENSG00000132698,GRCh38_RAB25,18,-2.5002,116,0.39442,90,-0.0772,16,-2.6652,133,0.79992
GRCh38_ENSG00000160789,GRCh38_LMNA,178,-0.9983,319,-0.1021,394,0.32738,427,0.38247,318,-0.1245
GRCh38_ENSG00000196189,GRCh38_SEMA4A,11,-0.5344,11,-0.5629,17,0.14776,14,-0.1705,19,0.46832
GRCh38_ENSG00000160785,GRCh38_SLC25A44,19,-0.1574,18,-0.3104,21,-0.0285,24,0.15960,24,0.23553
GRCh38_ENSG00000160783,GRCh38_PMF1,39,-0.2444,38,-0.2834,37,-0.4025,77,0.88828,49,0.19034
GRCh38_ENSG00000160781,GRCh38_PAQR6,8,-0.6306,19,0.84684,4,-1.8766,3,-2.0573,20,1.17825
GRCh38_ENSG00000198952,GRCh38_SMG5,41,-0.3685,44,-0.3067,50,-0.0980,74,0.56294,57,0.17253
GRCh38_ENSG00000163472,GRCh38_TMEM79,43,-1.6288,190,0.81177,97,-0.4836,30,-2.1538,167,0.64560
GRCh38_ENSG00000198715,GRCh38_GLMP,47,-0.3288,64,0.20376,64,0.23561,54,-0.0998,51,-0.2430
GRCh38_ENSG00000163468,GRCh38_CCT3,96,-0.5144,82,-0.8217,125,-0.1132,236,0.96276,151,0.27910
GRCh38_ENSG00000116604,GRCh38_MEF2D,55,0.88627,38,0.31589,38,0.33630,28,-0.2431,17,-1.2203
GRCh38_ENSG00000163382,GRCh38_NAXE,57,-0.1030,44,-0.5530,53,-0.2543,73,0.29288,76,0.49475
GRCh38_ENSG00000160818,GRCh38_GPATCH4,13,-0.9904,18,-0.5024,24,-0.0040,44,0.95940,26,0.13455
GRCh38_ENSG00000143320,GRCh38_CRABP2,44,-2.0251,201,0.34453,162,-0.0565,38,-2.2454,232,0.74337
GRCh38_ENSG00000143319,GRCh38_ISG20L2,19,-0.7201,20,-0.7330,34,0.20806,35,0.20306,38,0.40196
GRCh38_ENSG00000143303,GRCh38_RRNAD1,9,-0.5241,16,0.33478,15,0.17051,11,-0.3292,13,-0.1264
GRCh38_ENSG00000143314,GRCh38_MRPL24,19,-0.7447,18,-0.8924,37,0.36347,53,0.85633,31,-0.0258
GRCh38_ENSG00000143321,GRCh38_HDGF,112,-0.6229,129,-0.4493,147,-0.2627,229,0.51715,210,0.50109
GRCh38_ENSG00000143294,GRCh38_PRCC,65,0.30131,41,-0.4781,33,-0.8976,86,0.77262,69,0.52136
GRCh38_ENSG00000027869,GRCh38_SH2D2A,30,-0.3762,20,-1.0809,43,0.21580,56,0.60332,44,0.25716
GRCh38_ENSG00000187800,GRCh38_PEAR1,32,0.72720,8,-1.5838,10,-1.2268,58,1.78850,23,0.23656
GRCh38_ENSG00000163565,GRCh38_IFI16,133,-0.4445,95,-1.0453,196,0.21625,232,0.43924,208,0.34926
GRCh38_ENSG00000163568,GRCh38_AIM2,7,-1.2324,10,-0.7052,18,0.29410,20,0.36661,19,0.34272
GRCh38_ENSG00000158716,GRCh38_DUSP23,76,0.26300,39,-0.8493,60,-0.1592,78,0.29846,78,0.41073
GRCh38_ENSG00000158714,GRCh38_SLAMF8,17,-0.4473,12,-1.0240,38,1.23223,22,-0.0181,16,-0.6494
GRCh38_ENSG00000158710,GRCh38_TAGLN2,312,-0.5960,326,-0.5848,465,0.03939,890,1.12292,438,-0.0830
GRCh38_ENSG00000224259,GRCh38_LINC01133,3,-2.3378,13,-0.2330,8,-1.2468,23,0.65072,26,1.23162
