Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000188976,GRCh38_NOC2L,42,-0.1456,39,-0.2998,31,-0.7536,71,0.71145,59,0.53646
GRCh38_ENSG00000187961,GRCh38_KLHL17,22,0.57417,8,-1.1075,13,-0.2992,21,0.50818,18,0.38804
GRCh38_ENSG00000187583,GRCh38_PLEKHN1,7,-1.7945,43,1.26626,18,-0.4746,16,-0.5115,22,-0.1016
GRCh38_ENSG00000188290,GRCh38_HES4,71,-0.1788,70,-0.2087,65,-0.3759,72,-0.1600,104,0.60161
GRCh38_ENSG00000187608,GRCh38_ISG15,931,-0.2750,1343,0.35775,943,-0.3194,1491,0.48704,1043,-0.1196
GRCh38_ENSG00000188157,GRCh38_AGRN,101,0.05491,61,-0.7968,67,-0.7243,182,1.03779,123,0.51002
GRCh38_ENSG00000131591,GRCh38_C1orf159,15,-0.2681,22,0.34246,13,-0.5405,18,-0.0074,21,0.31479
GRCh38_ENSG00000272141,GRCh38_AL390719.2,7,-0.7496,8,-0.5617,4,-1.8527,5,-1.3058,25,2.07817
GRCh38_ENSG00000186891,GRCh38_TNFRSF18,37,0.63256,14,-0.9584,38,0.92751,10,-1.3760,21,-0.3707
GRCh38_ENSG00000186827,GRCh38_TNFRSF4,28,0.88078,8,-1.1300,20,0.44479,10,-0.7888,16,-0.0083
GRCh38_ENSG00000078808,GRCh38_SDF4,109,-0.0609,94,-0.3347,118,0.08392,170,0.67009,104,-0.1710
GRCh38_ENSG00000176022,GRCh38_B3GALT6,24,-0.3775,17,-0.9595,26,-0.3493,40,0.42489,44,0.79089
GRCh38_ENSG00000160087,GRCh38_UBE2J2,28,-0.7230,47,0.08021,46,0.05462,55,0.31953,44,-0.0130
GRCh38_ENSG00000131584,GRCh38_ACAP3,38,-0.2010,35,-0.3608,34,-0.4668,34,-0.3653,63,0.83231
GRCh38_ENSG00000169972,GRCh38_PUSL1,29,0.95362,11,-0.6618,13,-0.3878,24,0.62663,16,-0.0463
GRCh38_ENSG00000127054,GRCh38_INTS11,103,0.37590,56,-0.6581,67,-0.3983,95,0.23711,102,0.49194
GRCh38_ENSG00000224051,GRCh38_CPTP,40,0.01474,56,0.67641,24,-0.8982,38,-0.0422,43,0.19578
GRCh38_ENSG00000107404,GRCh38_DVL1,40,-0.3280,49,-0.0085,36,-0.6258,35,-0.5142,71,0.81628
GRCh38_ENSG00000162576,GRCh38_MXRA8,64,0.10002,22,-1.6159,132,2.14632,34,-0.8729,21,-1.8519
GRCh38_ENSG00000175756,GRCh38_AURKAIP1,129,0.01469,95,-0.5280,101,-0.4706,209,0.80748,151,0.34389
GRCh38_ENSG00000221978,GRCh38_CCNL2,176,0.13283,143,-0.2152,107,-0.7908,182,0.18718,218,0.65767
GRCh38_ENSG00000242485,GRCh38_MRPL20,112,-0.2308,95,-0.5406,99,-0.5360,177,0.50243,174,0.65373
GRCh38_ENSG00000179403,GRCh38_VWA1,63,-0.1210,98,0.67866,75,0.17827,92,0.47282,37,-1.1557
GRCh38_ENSG00000160072,GRCh38_ATAD3B,46,0.65976,23,-0.5257,17,-1.1352,48,0.70444,40,0.55373
GRCh38_ENSG00000197785,GRCh38_ATAD3A,31,0.09286,20,-0.6276,15,-1.2300,57,1.14364,39,0.65667
GRCh38_ENSG00000160075,GRCh38_SSU72,122,0.03569,110,-0.1458,101,-0.3248,147,0.33854,133,0.23522
GRCh38_ENSG00000197530,GRCh38_MIB2,50,-0.3391,35,-0.9598,25,-1.6129,116,1.02239,104,1.21276
GRCh38_ENSG00000008130,GRCh38_NADK,57,0.26661,31,-0.7546,40,-0.3854,63,0.42446,61,0.49304
GRCh38_ENSG00000078369,GRCh38_GNB1,209,0.11869,116,-0.8750,166,-0.3161,331,0.88302,225,0.30539
GRCh38_ENSG00000067606,GRCh38_PRKCZ,30,-0.0091,29,-0.0903,20,-0.7609,25,-0.2732,43,0.78247
GRCh38_ENSG00000162585,GRCh38_FAAP20,70,0.40952,23,-1.3941,44,-0.4406,96,0.92817,68,0.45472
GRCh38_ENSG00000157933,GRCh38_SKI,22,-0.1312,13,-1.0526,39,1.05462,26,0.09786,18,-0.5776
GRCh38_ENSG00000157916,GRCh38_RER1,104,-0.2861,145,0.28589,98,-0.4723,142,0.21312,138,0.21886
GRCh38_ENSG00000157911,GRCh38_PEX10,20,-0.3876,19,-0.5164,24,-0.1436,19,-0.5023,36,0.76089
GRCh38_ENSG00000149527,GRCh38_PLCH2,22,-0.3531,23,-0.3163,9,-2.0291,78,1.76232,36,0.54057
GRCh38_ENSG00000157873,GRCh38_TNFRSF14,93,0.75482,28,-1.2115,69,0.33894,50,-0.2533,60,0.05381
GRCh38_ENSG00000162591,GRCh38_MEGF6,33,0.47981,15,-0.8710,41,1.18302,3,-3.0395,19,-0.4478
GRCh38_ENSG00000158109,GRCh38_TPRG1L,55,-0.2560,65,0.00276,63,-0.0498,77,0.27506,65,0.02232
GRCh38_ENSG00000116213,GRCh38_WRAP73,13,-0.5483,15,-0.3812,20,0.13098,17,-0.0958,22,0.35947
GRCh38_ENSG00000130764,GRCh38_LRRC47,41,-0.2755,34,-0.6116,49,-0.0262,56,0.21027,60,0.42488
GRCh38_ENSG00000069424,GRCh38_KCNAB2,27,0.86217,17,0.13935,11,-0.7359,24,0.65227,14,-0.2661
GRCh38_ENSG00000116251,GRCh38_RPL22,732,0.13955,359,-1.0592,416,-0.9079,1313,1.12894,901,0.65182
GRCh38_ENSG00000116237,GRCh38_ICMT,52,-0.7900,74,-0.2689,93,0.15430,130,0.66999,85,-0.0370
GRCh38_ENSG00000158292,GRCh38_GPR153,30,-0.3641,25,-0.7524,33,-0.3043,90,1.45890,38,-0.0021
GRCh38_ENSG00000097021,GRCh38_ACOT7,39,-0.8372,58,-0.2527,45,-0.7471,114,0.88443,88,0.60379
GRCh38_ENSG00000069812,GRCh38_HES2,38,-1.5243,88,-0.2690,97,-0.1093,23,-2.2552,165,1.12954
GRCh38_ENSG00000187017,GRCh38_ESPN,7,-1.8920,27,0.02931,15,-1.0409,2,-3.6115,52,1.72525
GRCh38_ENSG00000215788,GRCh38_TNFRSF25,49,-0.2182,38,-0.6812,29,-1.2192,92,0.82806,86,0.97785
GRCh38_ENSG00000171680,GRCh38_PLEKHG5,16,-1.5940,43,-0.1399,24,-1.2104,79,0.86420,71,0.96245
GRCh38_ENSG00000162408,GRCh38_NOL9,28,0.11017,13,-1.1759,27,0.04878,43,0.77115,29,0.17936
GRCh38_ENSG00000204859,GRCh38_ZBTB48,22,0.47706,13,-0.3338,9,-1.0050,23,0.58509,21,0.52655
GRCh38_ENSG00000162413,GRCh38_KLHL21,50,-0.1603,88,0.89550,28,-1.2570,54,-0.0375,63,0.28085
GRCh38_ENSG00000116273,GRCh38_PHF13,8,-0.9925,21,0.57027,14,-0.2196,25,0.79269,12,-0.3938
GRCh38_ENSG00000041988,GRCh38_THAP3,14,0.03049,15,0.10539,11,-0.5413,19,0.51386,15,0.14631
GRCh38_ENSG00000007923,GRCh38_DNAJC11,34,0.18619,21,-0.6291,23,-0.4821,54,0.97157,34,0.23274
GRCh38_ENSG00000171735,GRCh38_CAMTA1,36,0.18016,29,-0.1331,35,0.21680,40,0.35099,26,-0.3939
GRCh38_ENSG00000049245,GRCh38_VAMP3,53,-0.6167,54,-0.6528,81,0.05605,105,0.46984,93,0.35246
GRCh38_ENSG00000049246,GRCh38_PER3,13,-1.1891,21,-0.5060,33,0.26691,19,-0.6177,38,0.61399
GRCh38_ENSG00000116288,GRCh38_PARK7,114,-0.4744,96,-0.8116,134,-0.2801,303,1.13903,177,0.28995
GRCh38_ENSG00000116285,GRCh38_ERRFI1,12,-1.0486,22,-0.1659,24,0.03876,22,-0.1487,29,0.45477
GRCh38_ENSG00000142599,GRCh38_RERE,46,0.52193,29,-0.2582,36,0.12546,37,0.13099,29,-0.2681
GRCh38_ENSG00000074800,GRCh38_ENO1,641,-0.5389,555,-0.8332,756,-0.3511,2135,1.48035,955,0.12009
GRCh38_ENSG00000180758,GRCh38_GPR157,9,-1.3601,27,0.38017,26,0.29605,4,-2.3247,26,0.30734
GRCh38_ENSG00000049239,GRCh38_H6PD,27,-0.4510,37,0.07352,36,0.03581,28,-0.3451,39,0.20640
GRCh38_ENSG00000171621,GRCh38_SPSB1,52,0.40464,25,-0.8022,35,-0.2710,46,0.21077,50,0.45684
GRCh38_ENSG00000171608,GRCh38_PIK3CD,33,0.64284,12,-0.9912,18,-0.4234,33,0.65278,26,0.32657
GRCh38_ENSG00000171603,GRCh38_CLSTN1,221,-0.3747,147,-1.0841,237,-0.3328,560,1.16932,338,0.40339
GRCh38_ENSG00000178585,GRCh38_CTNNBIP1,39,-2.0283,218,0.74120,144,-0.0432,56,-1.4850,171,0.30918
GRCh38_ENSG00000162441,GRCh38_LZIC,25,-0.2157,34,0.26016,22,-0.5248,31,0.08373,34,0.31283
GRCh38_ENSG00000130939,GRCh38_UBE4B,21,-0.6456,32,-0.0342,34,0.09208,30,-0.1055,36,0.20253
GRCh38_ENSG00000054523,GRCh38_KIF1B,30,-0.8795,56,0.07723,90,1.20736,35,-0.6591,31,-1.0528
GRCh38_ENSG00000142657,GRCh38_PGD,40,-0.5834,48,-0.3659,59,0.02186,85,0.59466,63,0.14567
GRCh38_ENSG00000160049,GRCh38_DFFA,11,-1.0626,6,-2.1945,31,0.65554,32,0.51797,28,0.37614
GRCh38_ENSG00000130940,GRCh38_CASZ1,4,-2.2234,40,1.57237,16,-0.3467,2,-3.1508,18,-0.0981
GRCh38_ENSG00000120948,GRCh38_TARDBP,61,-0.0668,47,-0.5435,73,0.27845,83,0.42456,61,-0.0983
GRCh38_ENSG00000116649,GRCh38_SRM,86,0.58529,39,-0.7589,39,-0.8038,111,1.02395,70,0.31018
GRCh38_ENSG00000171824,GRCh38_EXOSC10,31,-0.0180,20,-0.7193,26,-0.3876,50,0.77338,38,0.41067
GRCh38_ENSG00000198793,GRCh38_MTOR,15,-0.8982,19,-0.6420,27,-0.0428,41,0.64978,34,0.41362
GRCh38_ENSG00000116661,GRCh38_FBXO2,14,-0.1594,17,0.15263,4,-2.1302,14,-0.1529,28,1.29183
GRCh38_ENSG00000116670,GRCh38_MAD2L2,33,0.31179,14,-1.0856,24,-0.2046,59,1.29419,26,-0.0820
GRCh38_ENSG00000177674,GRCh38_AGTRAP,66,-0.7536,96,-0.1885,108,0.02115,106,-0.0112,127,0.36643
GRCh38_ENSG00000177000,GRCh38_MTHFR,21,0.12569,23,0.31155,18,-0.1708,11,-0.9261,21,0.16207
GRCh38_ENSG00000011021,GRCh38_CLCN6,14,0.42359,7,-0.6487,5,-1.3545,13,0.22676,17,1.07318
GRCh38_ENSG00000116685,GRCh38_KIAA2013,52,-0.1275,55,-0.0533,42,-0.5808,80,0.56314,66,0.32804
GRCh38_ENSG00000083444,GRCh38_PLOD1,107,0.75121,30,-1.3250,40,-0.9804,238,2.27177,50,-0.5696
GRCh38_ENSG00000116688,GRCh38_MFN2,41,-0.7327,43,-0.7252,65,-0.0271,96,0.61323,80,0.42122
GRCh38_ENSG00000116691,GRCh38_MIIP,43,0.57606,35,0.25845,12,-1.6331,46,0.66116,36,0.37256
GRCh38_ENSG00000028137,GRCh38_TNFRSF1B,31,-0.0390,19,-0.8726,51,1.08560,30,-0.0586,22,-0.6928
GRCh38_ENSG00000048707,GRCh38_VPS13D,19,-0.6146,21,-0.5052,36,0.58480,23,-0.2765,28,0.04972
GRCh38_ENSG00000162496,GRCh38_DHRS3,35,-0.5638,50,0.01143,40,-0.4211,7,-2.8813,79,1.05769
GRCh38_ENSG00000162493,GRCh38_PDPN,264,-0.1380,129,-1.3374,303,0.11117,515,0.97382,309,0.15279
GRCh38_ENSG00000116731,GRCh38_PRDM2,24,-0.3016,15,-1.1164,51,1.27632,15,-1.0603,25,-0.3320
GRCh38_ENSG00000189337,GRCh38_KAZN,5,-1.4539,13,-0.1775,18,0.48616,4,-1.9145,18,0.49305
GRCh38_ENSG00000171729,GRCh38_TMEM51,21,-0.9039,43,0.22295,34,-0.1944,31,-0.3287,46,0.41929
GRCh38_ENSG00000142634,GRCh38_EFHD2,73,-0.5228,92,-0.1707,93,-0.1721,180,0.94964,100,-0.0397
GRCh38_ENSG00000116138,GRCh38_DNAJC16,9,-0.5724,10,-0.4043,20,0.89242,16,0.26460,9,-0.6824
GRCh38_ENSG00000197312,GRCh38_DDI2,11,-1.4027,20,-0.5573,37,0.63934,21,-0.4406,31,0.25561
GRCh38_ENSG00000116786,GRCh38_PLEKHM2,70,0.11841,68,0.07994,48,-0.5976,54,-0.2872,82,0.51118
GRCh38_ENSG00000162458,GRCh38_FBLIM1,93,-0.7511,115,-0.4811,147,-0.0566,152,0.00865,198,0.60016
GRCh38_ENSG00000065526,GRCh38_SPEN,22,-0.3317,13,-1.2173,54,1.81325,17,-0.6810,14,-1.2132
GRCh38_ENSG00000116809,GRCh38_ZBTB17,15,-0.8857,32,0.35759,19,-0.5532,35,0.48740,30,0.26448
GRCh38_ENSG00000142627,GRCh38_EPHA2,37,-1.2770,146,1.07202,37,-1.4787,102,0.30988,101,0.37543
GRCh38_ENSG00000142632,GRCh38_ARHGEF19,7,-1.2557,20,0.38331,17,0.01728,13,-0.3591,18,0.18367
GRCh38_ENSG00000037637,GRCh38_FBXO42,17,-0.4089,23,0.09965,20,-0.1462,12,-0.9520,27,0.50404
GRCh38_ENSG00000055070,GRCh38_SZRD1,84,-0.2432,72,-0.5216,101,0.08268,141,0.60673,100,0.06122
GRCh38_ENSG00000157191,GRCh38_NECAP2,31,-0.6375,38,-0.3859,51,0.18169,52,0.17998,52,0.22574
GRCh38_ENSG00000117122,GRCh38_MFAP2,92,0.54549,38,-0.9568,100,0.93582,48,-0.4943,49,-0.5805
GRCh38_ENSG00000159363,GRCh38_ATP13A2,27,-0.7451,53,0.39006,29,-0.7438,27,-0.7234,61,0.78183
GRCh38_ENSG00000117118,GRCh38_SDHB,34,-0.4815,44,-0.1008,38,-0.3907,71,0.70116,52,0.25173
GRCh38_ENSG00000179051,GRCh38_RCC2,62,-0.5191,83,-0.0604,75,-0.2608,105,0.32613,100,0.32266
GRCh38_ENSG00000074964,GRCh38_ARHGEF10L,25,-0.4694,60,1.08885,27,-0.4709,26,-0.4575,31,-0.2307
GRCh38_ENSG00000169991,GRCh38_IFFO2,36,-1.7676,229,1.37208,76,-0.7999,75,-0.6833,121,0.09013
GRCh38_ENSG00000127481,GRCh38_UBR4,10,-0.9592,10,-1.0465,33,1.40860,12,-0.6508,15,-0.4432
GRCh38_ENSG00000127463,GRCh38_EMC1,15,-1.1190,20,-0.8055,28,-0.2553,78,1.52933,34,0.12940
GRCh38_ENSG00000053372,GRCh38_MRTO4,40,0.06917,28,-0.5478,20,-1.1909,83,1.31828,47,0.48266
GRCh38_ENSG00000053371,GRCh38_AKR7A2,23,-0.0705,15,-0.8069,20,-0.3953,37,0.69759,31,0.52126
GRCh38_ENSG00000040487,GRCh38_SLC66A1,16,0.10228,7,-1.1017,12,-0.4166,20,0.52089,20,0.68871
GRCh38_ENSG00000077549,GRCh38_CAPZB,153,-0.5167,189,-0.1998,214,0.01960,325,0.70534,207,-0.0488
GRCh38_ENSG00000173436,GRCh38_MICOS10,142,0.32118,64,-1.0122,68,-1.0139,290,1.56669,134,0.29829
GRCh38_ENSG00000158747,GRCh38_NBL1,122,0.03710,81,-0.6573,164,0.71421,85,-0.5308,110,-0.1646
GRCh38_ENSG00000158786,GRCh38_PLA2G2F,2,-4.4857,124,2.47782,26,-0.9377,2,-4.1252,31,-0.5713
GRCh38_ENSG00000162545,GRCh38_CAMK2N1,26,-0.5190,29,-0.3718,43,0.36875,71,1.11456,26,-0.6378
GRCh38_ENSG00000090432,GRCh38_MUL1,36,-0.1148,33,-0.2615,33,-0.3346,57,0.61739,43,0.23385
GRCh38_ENSG00000158825,GRCh38_CDA,9,-1.5630,35,0.65814,24,-0.0196,22,-0.1593,24,-0.0468
GRCh38_ENSG00000158828,GRCh38_PINK1,73,-0.5295,116,0.23953,105,0.06184,83,-0.3175,105,0.06601
GRCh38_ENSG00000244038,GRCh38_DDOST,56,0.06919,33,-0.8236,39,-0.6464,107,1.14961,65,0.38689
GRCh38_ENSG00000189410,GRCh38_SH2D5,33,-0.1806,28,-0.4793,10,-2.2558,126,2.22120,41,0.23342
GRCh38_ENSG00000127483,GRCh38_HP1BP3,73,-0.1364,56,-0.5977,102,0.55435,88,0.16131,71,-0.2152
GRCh38_ENSG00000075151,GRCh38_EIF4G3,28,-0.4242,32,-0.2468,48,0.56661,46,0.33378,29,-0.4533
GRCh38_ENSG00000117298,GRCh38_ECE1,82,1.16858,26,-0.7791,25,-0.8916,125,1.97769,24,-0.9560
GRCh38_ENSG00000090686,GRCh38_USP48,46,0.13110,22,-1.0769,62,0.83865,38,-0.1829,37,-0.2677
GRCh38_ENSG00000142798,GRCh38_HSPG2,273,0.59888,142,-0.4981,206,0.18073,361,1.08669,118,-0.8912
GRCh38_ENSG00000070831,GRCh38_CDC42,157,-1.0489,252,-0.3594,415,0.65511,306,-0.0127,292,-0.1130
GRCh38_ENSG00000162552,GRCh38_WNT4,10,-2.0996,25,-0.8881,62,0.84259,5,-3.0079,58,0.68260
GRCh38_ENSG00000173372,GRCh38_C1QA,328,-0.4722,293,-0.7068,788,1.42070,103,-2.2135,347,-0.4778
GRCh38_ENSG00000159189,GRCh38_C1QC,78,-0.3586,67,-0.6564,142,0.84937,22,-2.2733,106,0.16909
GRCh38_ENSG00000173369,GRCh38_C1QB,230,-0.7418,200,-1.0458,580,1.04649,71,-2.5077,421,0.27169
GRCh38_ENSG00000133216,GRCh38_EPHB2,8,-0.9973,18,0.12456,18,0.14679,5,-1.7269,21,0.50899
GRCh38_ENSG00000004487,GRCh38_KDM1A,28,-0.0325,13,-1.2892,32,0.24679,34,0.29929,33,0.34088
GRCh38_ENSG00000169641,GRCh38_LUZP1,32,-0.8238,42,-0.4320,59,0.17219,75,0.52662,58,0.14143
GRCh38_ENSG00000125944,GRCh38_HNRNPR,70,-0.1851,54,-0.6558,91,0.29649,127,0.79336,70,-0.2293
GRCh38_ENSG00000117318,GRCh38_ID3,84,0.20866,42,-0.9427,119,1.12208,71,-0.0671,47,-0.8452
GRCh38_ENSG00000142676,GRCh38_RPL11,832,-0.6038,811,-0.7071,1370,0.24200,1541,0.37681,1371,0.24372
GRCh38_ENSG00000011007,GRCh38_ELOA,20,-0.3808,17,-0.6604,21,-0.3565,43,0.83308,32,0.44704
GRCh38_ENSG00000057757,GRCh38_PITHD1,43,-0.5259,61,0.02939,52,-0.2954,66,0.14218,71,0.37372
GRCh38_ENSG00000011009,GRCh38_LYPLA2,55,-0.6107,72,-0.2264,77,-0.1188,109,0.46732,93,0.26521
GRCh38_ENSG00000117308,GRCh38_GALE,20,-0.5653,29,-0.0069,20,-0.7220,58,1.16544,31,0.16920
GRCh38_ENSG00000117305,GRCh38_HMGCL,15,-0.9572,24,-0.3034,22,-0.4974,33,0.21877,41,0.81596
GRCh38_ENSG00000179163,GRCh38_FUCA1,26,0.54006,10,-0.9576,32,1.25025,8,-1.1743,12,-0.8220
GRCh38_ENSG00000189266,GRCh38_PNRC2,52,-0.3727,52,-0.3978,84,0.53971,62,-0.1036,62,-0.1123
GRCh38_ENSG00000188529,GRCh38_SRSF10,39,-0.2896,24,-1.0913,43,-0.1591,97,1.22473,51,0.18866
GRCh38_ENSG00000142677,GRCh38_IL22RA1,4,-2.4893,52,2.01478,14,-0.6599,8,-1.3144,15,-0.5876
GRCh38_ENSG00000158055,GRCh38_GRHL3,6,-1.6084,27,0.68051,22,0.26818,6,-1.7095,19,0.03759
GRCh38_ENSG00000001461,GRCh38_NIPAL3,8,-0.7432,10,-0.5622,16,0.35537,30,1.29121,10,-0.5614
GRCh38_ENSG00000117602,GRCh38_RCAN3,9,-1.0890,10,-1.0968,27,0.69279,22,0.17991,21,0.16578
GRCh38_ENSG00000133226,GRCh38_SRRM1,16,-0.9067,13,-1.2347,50,1.36380,31,0.15964,20,-0.6619
GRCh38_ENSG00000169504,GRCh38_CLIC4,123,0.09536,74,-0.7717,141,0.41544,100,-0.2350,122,0.10969
GRCh38_ENSG00000020633,GRCh38_RUNX3,25,0.74863,12,-0.4825,20,0.50618,18,0.16658,11,-0.7628
GRCh38_ENSG00000117614,GRCh38_SYF2,36,-0.2370,31,-0.5152,51,0.44273,48,0.21306,39,-0.1203
GRCh38_ENSG00000117616,GRCh38_RSRP1,41,0.26897,41,0.27605,35,0.02468,30,-0.2629,30,-0.2776
GRCh38_ENSG00000183726,GRCh38_TMEM50A,72,-0.6591,112,0.03062,123,0.23019,118,0.10693,107,-0.0732
GRCh38_ENSG00000204178,GRCh38_MACO1,24,-0.4435,71,1.66782,28,-0.2789,20,-0.7341,17,-1.1900
GRCh38_ENSG00000157978,GRCh38_LDLRAP1,29,0.04917,25,-0.2405,28,0.01051,38,0.49574,27,-0.1027
GRCh38_ENSG00000162430,GRCh38_SELENON,80,0.69645,25,-1.2336,64,0.45034,89,0.88099,37,-0.6705
GRCh38_ENSG00000117640,GRCh38_MTFR1L,39,0.77227,15,-0.8563,18,-0.5810,32,0.42956,30,0.43167
GRCh38_ENSG00000182749,GRCh38_PAQR7,14,-0.7045,26,0.28591,15,-0.7766,24,0.09369,30,0.61618
GRCh38_ENSG00000117632,GRCh38_STMN1,76,-0.2290,42,-1.2398,67,-0.5401,294,2.16330,76,-0.3036
GRCh38_ENSG00000142684,GRCh38_ZNF593,59,0.48148,26,-0.9030,32,-0.6195,74,0.84271,53,0.41429
GRCh38_ENSG00000142675,GRCh38_CNKSR1,14,-0.3700,19,0.15901,12,-0.6687,17,-0.0345,23,0.59159
GRCh38_ENSG00000142669,GRCh38_SH3BGRL3,468,-0.6118,634,-0.1501,583,-0.3361,1020,0.64184,799,0.31126
GRCh38_ENSG00000169442,GRCh38_CD52,76,0.10903,34,-1.2368,104,0.86952,33,-1.1801,74,0.07606
GRCh38_ENSG00000176092,GRCh38_CRYBG2,18,-1.1490,73,1.34315,20,-1.1323,19,-1.0340,44,0.32411
GRCh38_ENSG00000117682,GRCh38_DHDDS,30,0.71836,17,-0.1772,15,-0.4852,28,0.64050,18,-0.1234
GRCh38_ENSG00000198830,GRCh38_HMGN2,181,-0.2666,104,-1.2063,177,-0.3756,517,1.51536,234,0.18972
GRCh38_ENSG00000117676,GRCh38_RPS6KA1,42,0.23684,20,-0.9541,33,-0.1592,66,1.00234,37,0.07163
GRCh38_ENSG00000117713,GRCh38_ARID1A,33,-0.3918,21,-1.1194,57,0.66460,38,-0.1375,45,0.15123
GRCh38_ENSG00000204160,GRCh38_ZDHHC18,25,-0.2537,31,0.09207,25,-0.3348,29,-0.0671,35,0.35989
GRCh38_ENSG00000175793,GRCh38_SFN,2053,-1.2968,5095,0.12940,4071,-0.3064,3814,-0.3463,6395,0.66294
GRCh38_ENSG00000142751,GRCh38_GPN2,17,-0.4069,29,0.52325,17,-0.4487,29,0.48270,21,-0.1046
GRCh38_ENSG00000198746,GRCh38_GPATCH3,3,-1.9458,10,-0.2970,10,-0.4713,13,0.10266,19,0.99206
GRCh38_ENSG00000090273,GRCh38_NUDC,74,-0.1918,63,-0.4970,79,-0.1173,169,1.18198,77,-0.1665
GRCh38_ENSG00000175707,GRCh38_KDF1,11,-1.1568,15,-0.7553,17,-0.6033,22,-0.1355,41,1.28967
GRCh38_ENSG00000253368,GRCh38_TRNP1,7,-1.0803,13,-0.1189,11,-0.4509,6,-1.3762,23,1.12545
GRCh38_ENSG00000158246,GRCh38_TENT5B,24,-2.0069,104,0.27993,64,-0.6461,15,-2.7002,151,1.27121
GRCh38_ENSG00000090020,GRCh38_SLC9A1,21,-0.8496,27,-0.5402,49,0.65587,57,0.72934,29,-0.4675
GRCh38_ENSG00000142784,GRCh38_WDTC1,10,-0.7908,16,-0.0963,26,0.98895,9,-0.9892,13,-0.4604
GRCh38_ENSG00000186501,GRCh38_TMEM222,38,-0.2902,46,-0.0120,39,-0.3176,57,0.33787,52,0.25909
GRCh38_ENSG00000142765,GRCh38_SYTL1,115,0.14856,86,-0.3523,54,-1.2251,57,-0.9408,181,1.32024
GRCh38_ENSG00000142733,GRCh38_MAP3K6,32,-0.6712,45,-0.1724,48,-0.0595,45,-0.1293,61,0.45208
GRCh38_ENSG00000158195,GRCh38_WASF2,78,-0.6717,123,0.04466,151,0.50418,116,-0.0550,102,-0.3233
GRCh38_ENSG00000126705,GRCh38_AHDC1,20,0.31924,29,1.10547,10,-0.8913,17,0.12711,12,-0.4999
GRCh38_ENSG00000126709,GRCh38_IFI6,353,-1.2298,810,0.06882,1106,0.78880,333,-1.3162,725,-0.1481
GRCh38_ENSG00000117758,GRCh38_STX12,24,-0.7752,31,-0.4216,56,0.75903,37,-0.1163,36,-0.2243
GRCh38_ENSG00000117751,GRCh38_PPP1R8,20,-0.2745,15,-0.7185,25,0.10798,33,0.56192,26,0.18184
GRCh38_ENSG00000130775,GRCh38_THEMIS2,55,1.20861,19,-0.5886,36,0.65948,25,-0.1132,14,-1.2099
GRCh38_ENSG00000117748,GRCh38_RPA2,17,-0.5964,11,-1.3083,31,0.41548,34,0.45370,30,0.29156
GRCh38_ENSG00000126698,GRCh38_DNAJC8,69,-0.0531,60,-0.2951,66,-0.1458,104,0.62133,73,0.06018
GRCh38_ENSG00000130770,GRCh38_ATP5IF1,127,-0.3430,103,-0.7383,104,-0.7921,209,0.45956,241,0.98056
GRCh38_ENSG00000130766,GRCh38_SESN2,11,-0.4675,21,0.60922,8,-1.1346,14,-0.0898,20,0.58736
GRCh38_ENSG00000204138,GRCh38_PHACTR4,16,-1.0183,42,0.53199,51,1.16075,14,-1.2518,15,-1.2960
GRCh38_ENSG00000180198,GRCh38_RCC1,9,-0.4408,13,0.17203,7,-1.0195,28,1.45954,12,-0.0275
GRCh38_ENSG00000242125,GRCh38_SNHG3,49,-0.1805,32,-0.8885,22,-1.6317,107,1.11918,87,1.08268
GRCh38_ENSG00000180098,GRCh38_TRNAU1AP,25,0.05581,10,-1.4081,20,-0.3620,49,1.21188,28,0.36471
GRCh38_ENSG00000197989,GRCh38_SNHG12,24,-0.0576,11,-1.2763,11,-1.4985,44,0.92526,42,1.24574
GRCh38_ENSG00000120656,GRCh38_TAF12,32,0.45071,16,-0.6931,17,-0.6451,34,0.53823,31,0.51743
GRCh38_ENSG00000162419,GRCh38_GMEB1,5,-1.2476,7,-0.8602,13,0.01000,13,-0.0068,18,0.83470
GRCh38_ENSG00000198492,GRCh38_YTHDF2,66,-0.5213,80,-0.2409,102,0.22037,101,0.13855,96,0.07840
GRCh38_ENSG00000159023,GRCh38_EPB41,18,0.16788,13,-0.3819,24,0.91138,6,-1.3836,13,-0.4334
GRCh38_ENSG00000116350,GRCh38_SRSF4,51,0.07300,48,-0.0331,41,-0.3279,57,0.26274,53,0.18015
GRCh38_ENSG00000116353,GRCh38_MECR,14,0.17150,5,-1.3544,10,-0.4387,18,0.60699,17,0.72555
GRCh38_ENSG00000162511,GRCh38_LAPTM5,180,-0.4104,126,-1.0483,438,1.57948,109,-1.1759,161,-0.7190
GRCh38_ENSG00000162512,GRCh38_SDC3,17,-0.6184,12,-1.2175,27,0.17397,38,0.67479,30,0.38526
GRCh38_ENSG00000134644,GRCh38_PUM1,37,-0.8610,42,-0.7438,71,0.17687,66,0.04015,83,0.53791
