Feature,Normalized.Dispersion
GRCh38_ENSG00000069424,-1.4114560284067073
GRCh38_ENSG00000116251,-1.4266869907120305
GRCh38_ENSG00000226944,NaN
GRCh38_ENSG00000158286,-1.5475347688518768
GRCh38_ENSG00000116237,3.5943361586527804
GRCh38_ENSG00000225077,2.812950163886548
GRCh38_ENSG00000158292,-1.8603999461922451
GRCh38_ENSG00000097021,0.2785045828261488
GRCh38_ENSG00000271746,0.8276537054172317
GRCh38_ENSG00000069812,-0.18780753445669096
GRCh38_ENSG00000187017,1.6125863730207282
GRCh38_ENSG00000215788,-1.8851547926314727
GRCh38_ENSG00000171680,-0.7880915980265814
GRCh38_ENSG00000162408,-0.4923086434092577
GRCh38_ENSG00000204859,-0.6588259647350957
GRCh38_ENSG00000162413,-2.107505941480501
GRCh38_ENSG00000116273,0.4614865152216505
GRCh38_ENSG00000041988,-1.6691287793948555
GRCh38_ENSG00000007923,-1.8874962173588903
GRCh38_ENSG00000284744,NaN
GRCh38_ENSG00000237436,1.020411920138424
GRCh38_ENSG00000171735,-0.2157526596618281
GRCh38_ENSG00000270171,NaN
GRCh38_ENSG00000269978,-2.798988239423047
GRCh38_ENSG00000049245,-0.8199836950747288
GRCh38_ENSG00000269925,2.0833272968485423
GRCh38_ENSG00000049246,0.7938434730077367
GRCh38_ENSG00000049247,0.4917746985185234
GRCh38_ENSG00000049249,0.43349467766988764
GRCh38_ENSG00000116288,8.48178288091027
GRCh38_ENSG00000284747,-1.6035272216521068
GRCh38_ENSG00000116285,-0.4108734747779372
GRCh38_ENSG00000238290,NaN
GRCh38_ENSG00000162426,0.1723563240067273
GRCh38_ENSG00000142599,-1.121167775645258
GRCh38_ENSG00000232912,-1.8602256054662756
GRCh38_ENSG00000228423,NaN
GRCh38_ENSG00000074800,-1.2643246680688152
GRCh38_ENSG00000230679,-0.999750583941676
GRCh38_ENSG00000197241,NaN
GRCh38_ENSG00000142583,0.3884917795298304
GRCh38_ENSG00000180758,3.0589456452892034
GRCh38_ENSG00000228526,-0.2071784521878246
GRCh38_ENSG00000234546,-0.7460049815080287
GRCh38_ENSG00000049239,-0.6279950771156564
GRCh38_ENSG00000171621,0.10572120065835248
GRCh38_ENSG00000284652,1.7446138587141637
GRCh38_ENSG00000284693,-0.2502810108615556
GRCh38_ENSG00000171612,0.16394527850675847
GRCh38_ENSG00000188807,-1.6950703443622592
GRCh38_ENSG00000171608,-2.389197431473441
GRCh38_ENSG00000179840,NaN
GRCh38_ENSG00000231789,0.7369125484690088
GRCh38_ENSG00000171603,-0.9884719984248811
GRCh38_ENSG00000178585,1.2179799832555234
GRCh38_ENSG00000223989,4.148604921614877
GRCh38_ENSG00000162441,-1.1923899176253683
GRCh38_ENSG00000228150,10.08386026272771
GRCh38_ENSG00000173614,1.1252360902252356
GRCh38_ENSG00000162444,0.018775128942914214
GRCh38_ENSG00000130939,-0.0864887330343262
GRCh38_ENSG00000054523,2.119090930875204
GRCh38_ENSG00000284642,0.01605213892236688
GRCh38_ENSG00000142657,-0.6010997283685774
GRCh38_ENSG00000175279,-0.3998764355429939
GRCh38_ENSG00000241563,-0.9622168468378937
GRCh38_ENSG00000160049,-0.37643216520646955
GRCh38_ENSG00000142655,-1.4967988945121216
GRCh38_ENSG00000130940,0.5591887298064525
GRCh38_ENSG00000272078,NaN
GRCh38_ENSG00000175262,-1.5028299977454482
GRCh38_ENSG00000120948,-0.20803812511364284
GRCh38_ENSG00000271895,-2.2310686655573817
GRCh38_ENSG00000116649,1.7440560927291908
GRCh38_ENSG00000171824,-0.5712034214525489
GRCh38_ENSG00000226849,-1.5518026479399993
GRCh38_ENSG00000230337,1.4653066189489716
GRCh38_ENSG00000198793,-0.28175488725576453
GRCh38_ENSG00000120942,-1.2090587842878846
GRCh38_ENSG00000284646,NaN
GRCh38_ENSG00000204624,-0.12228774568794655
GRCh38_ENSG00000235643,NaN
GRCh38_ENSG00000116661,-1.1021386220635176
GRCh38_ENSG00000132879,-0.8311277663832445
GRCh38_ENSG00000116663,-1.4935370255812157
GRCh38_ENSG00000116670,5.442705716326812
GRCh38_ENSG00000162490,-0.9922359698502954
GRCh38_ENSG00000177674,3.7119036433907273
GRCh38_ENSG00000215910,-0.8434101538469917
GRCh38_ENSG00000177000,-0.878518850396601
GRCh38_ENSG00000011021,-0.26610514810997743
GRCh38_ENSG00000285646,2.3007228097104027
GRCh38_ENSG00000116685,-1.7512879880730772
GRCh38_ENSG00000083444,-1.7517026316143054
GRCh38_ENSG00000116688,-0.7871384482743233
GRCh38_ENSG00000116691,5.121113307317018
GRCh38_ENSG00000120949,1.1452869719580716
GRCh38_ENSG00000028137,-0.14239350235763237
GRCh38_ENSG00000048707,-0.29595187612510143
GRCh38_ENSG00000162496,0.2096470424412246
GRCh38_ENSG00000188984,4.433850193370913
GRCh38_ENSG00000157330,-1.3236401054292655
GRCh38_ENSG00000116726,NaN
GRCh38_ENSG00000162494,1.0149581678123798
GRCh38_ENSG00000162493,-0.6318383592602541
GRCh38_ENSG00000116731,1.685440412629197
GRCh38_ENSG00000189337,2.141184469942654
GRCh38_ENSG00000234593,0.846216533571049
GRCh38_ENSG00000175147,2.0500138976589564
GRCh38_ENSG00000171729,3.3486624726143095
GRCh38_ENSG00000142621,1.4886124370163745
GRCh38_ENSG00000228140,-1.494443409533179
GRCh38_ENSG00000142634,-0.42406676367052054
GRCh38_ENSG00000162438,-0.2856885811233261
GRCh38_ENSG00000142615,NaN
GRCh38_ENSG00000132906,0.02685697292823271
GRCh38_ENSG00000116138,-0.34641904443426647
GRCh38_ENSG00000272510,NaN
GRCh38_ENSG00000116771,-1.1331388604626662
GRCh38_ENSG00000197312,-0.20840027427948654
GRCh38_ENSG00000116786,-1.7499141310371351
GRCh38_ENSG00000237938,NaN
GRCh38_ENSG00000162461,-1.794868447646419
GRCh38_ENSG00000224459,NaN
